Time,Complex A,Complex B,Ratio A,Ratio B,Exe A,Exe B,PR A,PR B
10,8,16,0.09375,0.059375,0.6122448979591836,0.38775510204081626,0.7974246138397473,0.2025753861602528
20,8,16,0.10714285714285714,0.06333333333333332,0.6284916201117319,0.3715083798882682,0.8288152405156796,0.17118475948432038
30,8,16,0.125,0.06785714285714285,0.6481481481481483,0.35185185185185186,0.8620862991112721,0.137913700888728
40,8,16,0.15,0.07307692307692307,0.6724137931034483,0.3275862068965517,0.896355284233431,0.10364471576656893
50,8,16,0.1875,0.07916666666666666,0.703125,0.296875,0.9299987753102548,0.07000122468974526
60,8,16,0.25,0.08636363636363636,0.7432432432432432,0.25675675675675674,0.9604061558354596,0.03959384416454045
70,8,16,0.375,0.095,0.797872340425532,0.2021276595744681,0.9840017353417271,0.015998264658272962
80,8,16,0.75,0.10555555555555556,0.8766233766233766,0.12337662337662338,0.9972199637326659,0.0027800362673341887
90,8,16,0.75,0.11875,0.8633093525179856,0.13669064748201437,0.9960463645748733,0.003953635425126768
100,8,16,0.75,0.1357142857142857,0.8467741935483871,0.1532258064516129,0.9941098374902532,0.0058901625097468055
110,8,16,0.75,0.15833333333333333,0.8256880733944955,0.17431192660550457,0.9906789208258647,0.00932107917413526
120,8,16,0.75,0.19,0.797872340425532,0.2021276595744681,0.9840017353417271,0.015998264658272962
130,8,16,0.75,0.2375,0.7594936708860759,0.24050632911392403,0.9692226923749995,0.030777307625000565
140,8,16,0.75,0.31666666666666665,0.703125,0.296875,0.9299987753102548,0.07000122468974526
150,8,16,0.75,0.475,0.6122448979591836,0.38775510204081626,0.7974246138397473,0.2025753861602528
160,8,16,0.75,0.95,0.4411764705882353,0.5588235294117647,0.32978307602110607,0.6702169239788939
170,8,16,0.75,0.95,0.4411764705882353,0.5588235294117647,0.32978307602110607,0.6702169239788939
180,8,16,0.75,0.95,0.4411764705882353,0.5588235294117647,0.32978307602110607,0.6702169239788939
190,8,16,0.75,0.95,0.4411764705882353,0.5588235294117647,0.32978307602110607,0.6702169239788939
200,8,16,0.75,0.95,0.4411764705882353,0.5588235294117647,0.32978307602110607,0.6702169239788939
210,8,16,0.75,0.95,0.4411764705882353,0.5588235294117647,0.32978307602110607,0.6702169239788939
220,8,16,0.75,0.95,0.4411764705882353,0.5588235294117647,0.32978307602110607,0.6702169239788939
230,8,16,0.75,0.95,0.4411764705882353,0.5588235294117647,0.32978307602110607,0.6702169239788939
240,8,16,0.75,0.95,0.4411764705882353,0.5588235294117647,0.32978307602110607,0.6702169239788939
250,8,16,0.75,0.95,0.4411764705882353,0.5588235294117647,0.32978307602110607,0.6702169239788939
260,8,16,0.75,0.95,0.4411764705882353,0.5588235294117647,0.32978307602110607,0.6702169239788939
270,8,16,0.75,0.95,0.4411764705882353,0.5588235294117647,0.32978307602110607,0.6702169239788939
280,8,16,0.75,0.95,0.4411764705882353,0.5588235294117647,0.32978307602110607,0.6702169239788939
290,8,16,0.75,0.95,0.4411764705882353,0.5588235294117647,0.32978307602110607,0.6702169239788939
300,8,16,0.75,0.95,0.4411764705882353,0.5588235294117647,0.32978307602110607,0.6702169239788939
310,8,16,0.75,0.95,0.4411764705882353,0.5588235294117647,0.32978307602110607,0.6702169239788939
320,8,16,0.75,0.95,0.4411764705882353,0.5588235294117647,0.32978307602110607,0.6702169239788939
330,8,16,0.75,0.95,0.4411764705882353,0.5588235294117647,0.32978307602110607,0.6702169239788939
340,8,16,0.75,0.95,0.4411764705882353,0.5588235294117647,0.32978307602110607,0.6702169239788939
350,8,16,0.75,0.95,0.4411764705882353,0.5588235294117647,0.32978307602110607,0.6702169239788939
360,8,16,0.75,0.95,0.4411764705882353,0.5588235294117647,0.32978307602110607,0.6702169239788939
370,8,16,0.75,0.95,0.4411764705882353,0.5588235294117647,0.32978307602110607,0.6702169239788939
380,8,16,0.75,0.95,0.4411764705882353,0.5588235294117647,0.32978307602110607,0.6702169239788939
390,8,16,0.75,0.95,0.4411764705882353,0.5588235294117647,0.32978307602110607,0.6702169239788939
400,8,16,0.75,0.95,0.4411764705882353,0.5588235294117647,0.32978307602110607,0.6702169239788939
