Time,Real Time,Complex A,Complex B,Complex C,Ratio A,Ratio B,Ratio C,Exe A,Exe B,Exe C,PR A,PR B,PR C
0,0,3,5,15,0.166666667,0.12,0.06,0.480769231,0.346153846,0.173076923,0.669771131,0.275725075,0.054503794
1,20,3,5,15,0.25,0.15,0.064285714,0.538461538,0.323076923,0.138461538,0.780714914,0.191630024,0.027655062
2,40,3,5,15,0.5,0.2,0.069230769,0.65,0.26,0.09,0.923318946,0.069872785,0.006808269
3,60,3,5,15,0.5,0.3,0.075,0.571428571,0.342857143,0.085714286,0.803000341,0.188530515,0.008469144
4,80,3,5,15,0.5,0.6,0.081818182,0.423076923,0.507692308,0.069230769,0.369809188,0.624053005,0.006137807
5,100,3,5,15,0.5,0.6,0.09,0.420168067,0.504201681,0.075630252,0.369768957,0.622715993,0.00751505
6,120,3,5,15,0.5,0.6,0.1,0.416666667,0.5,0.083333333,0.369623656,0.620967742,0.009408602
7,140,3,5,15,0.5,0.6,0.1125,0.412371134,0.494845361,0.092783505,0.369290778,0.618599736,0.012109485
8,160,3,5,15,0.5,0.6,0.128571429,0.406976744,0.488372093,0.104651163,0.368611099,0.615245435,0.016143466
9,180,3,5,15,0.5,0.6,0.15,0.4,0.48,0.12,0.367255217,0.610208668,0.022536116
10,200,3,5,15,0.5,0.6,0.18,0.390625,0.46875,0.140625,0.364476264,0.60202903,0.033494706
11,220,3,5,15,0.5,0.6,0.225,0.377358491,0.452830189,0.169811321,0.358359271,0.587214915,0.054425814
12,240,3,5,15,0.5,0.6,0.3,0.357142857,0.428571429,0.214285714,0.343106675,0.555832813,0.101060512
13,260,3,5,15,0.5,0.6,0.45,0.322580645,0.387096774,0.290322581,0.297197949,0.473014,0.229788051
14,280,3,5,15,0.5,0.6,0.9,0.25,0.3,0.45,0.143656716,0.221641791,0.634701493
15,300,3,5,15,0.5,0.6,0.9,0.25,0.3,0.45,0.143656716,0.221641791,0.634701493
16,320,3,5,15,0.5,0.6,0.9,0.25,0.3,0.45,0.143656716,0.221641791,0.634701493
17,340,3,5,15,0.5,0.6,0.9,0.25,0.3,0.45,0.143656716,0.221641791,0.634701493
18,360,3,5,15,0.5,0.6,0.9,0.25,0.3,0.45,0.143656716,0.221641791,0.634701493
19,380,3,5,15,0.5,0.6,0.9,0.25,0.3,0.45,0.143656716,0.221641791,0.634701493
20,400,3,5,15,0.5,0.6,0.9,0.25,0.3,0.45,0.143656716,0.221641791,0.634701493
