Methods,Ratio,Network,Scientists,Time,Neutral,Method A,Method B,Method C,Check
3,0.050,Small-World,0,0,1.000,0.000,0.000,0.000,1.000
3,0.050,Small-World,10,100,0.000,0.900,0.100,0.000,1.000
3,0.050,Small-World,20,6000,0.000,0.450,0.300,0.250,1.000
3,0.050,Small-World,30,9000,0.000,0.150,0.550,0.300,1.000
3,0.050,Small-World,50,11000,0.000,0.050,0.350,0.600,1.000
3,0.050,Small-World,75,8000,0.000,0.050,0.100,0.850,1.000
3,0.050,Small-World,100,7000,0.000,0.000,0.000,1.000,1.000
3,0.050,Complete,0,0,1.000,0.000,0.000,0.000,1.000
3,0.050,Complete,10,150,0.000,0.800,0.200,0.000,1.000
3,0.050,Complete,20,2000,0.000,0.600,0.400,0.000,1.000
3,0.050,Complete,30,4000,0.000,0.250,0.550,0.200,1.000
3,0.050,Complete,50,25000,0.000,0.100,0.700,0.200,1.000
3,0.050,Complete,75,10000,0.000,0.000,0.300,0.700,1.000
3,0.050,Complete,100,5000,0.000,0.000,0.300,0.700,1.000
3,0.050,Cycle,0,0,1.000,0.000,0.000,0.000,1.000
3,0.050,Cycle,10,450,0.000,0.600,0.300,0.100,1.000
3,0.050,Cycle,20,4000,0.000,0.150,0.550,0.300,1.000
3,0.050,Cycle,30,4000,0.000,0.100,0.350,0.550,1.000
3,0.050,Cycle,50,5000,0.000,0.050,0.050,0.900,1.000
3,0.050,Cycle,75,10000,0.000,0.050,0.050,0.900,1.000
3,0.050,Cycle,100,13000,0.000,0.000,0.000,1.000,1.000
3,0.050,Wheel,0,0,1.000,0.000,0.000,0.000,1.000
3,0.050,Wheel,10,150,0.000,0.850,0.150,0.000,1.000
3,0.050,Wheel,20,6000,0.000,0.850,0.050,0.100,1.000
3,0.050,Wheel,30,6000,0.000,0.600,0.300,0.100,1.000
3,0.050,Wheel,50,17000,0.000,0.600,0.250,0.150,1.000
3,0.050,Wheel,75,24000,0.000,0.225,0.125,0.650,1.000
